Resultados de Conversión (Decimal -> Binario, Hexadecimal)
============================================================
Archivo de entrada: P2\test\TC2.txt

DEC	BIN	HEX
5581444	10101010010101010000100	552A84
8097911	11110111001000001110111	7B9077
8882527	100001111000100101011111	87895F
8941444	100010000110111110000100	886F84
4942703	10010110110101101101111	4B6B6F
101144	11000101100011000	18B18
7471180	11100100000000001001100	72004C
1932131	111010111101101100011	1D7B63
8052752	11110101110000000010000	7AE010
6359493	11000010000100111000101	6109C5
1967646	111100000011000011110	1E061E
6575052	11001000101001111001100	6453CC
2323342	1000110111001110001110	23738E
6735760	11001101100011110010000	66C790
8895858	100001111011110101110010	87BD72
4238091	10000001010101100001011	40AB0B
7093069	11011000011101101001101	6C3B4D
39	100111	27

Elementos válidos: 200
Elementos inválidos: 0
Tiempo transcurrido (segundos): 0.002526
