Resultados de Conversión (Decimal -> Binario, Hexadecimal)
============================================================
Archivo de entrada: P2\test\TC1.txt

DEC	BIN	HEX
9682250	100100111011110101001010	93BD4A
2583824	1001110110110100010000	276D10
4979126	10010111111100110110110	4BF9B6
6280954	10111111101011011111010	5FD6FA
1228610	100101011111101000010	12BF42
705518	10101100001111101110	AC3EE
1017653	11111000011100110101	F8735
500098	1111010000110000010	7A182
7210727	11011100000011011100111	6E06E7
4250898	10000001101110100010010	40DD12
4055028	1111011101111111110100	3DDFF4
2754240	1010100000011011000000	2A06C0
452999	1101110100110000111	6E987
6831458	11010000011110101100010	683D62
207636	110010101100010100	32B14
7280635	11011110001011111111011	6F17FB
3308937	1100100111110110001001	327D89
4303570	10000011010101011010010	41AAD2
8375055	11111111100101100001111	7FCB0F
1457960	101100011111100101000	163F28
5197625	10011110100111100111001	4F4F39
3144371	1011111111101010110011	2FFAB3
6674138	11001011101011011011010	65D6DA
2692106	1010010001010000001010	29140A
2276769	1000101011110110100001	22BDA1
1940971	111011001110111101011	1D9DEB
3288264	1100100010110011001000	322CC8
4819803	10010011000101101011011	498B5B
9431005	100011111110011111011101	8FE7DD
3992019	1111001110100111010011	3CE9D3
8184782	11111001110001111001110	7CE3CE
2847975	1010110111010011100111	2B74E7
7891025	11110000110100001010001	786851
900082	11011011101111110010	DBBF2
1831532	110111111001001101100	1BF26C
8428253	100000001001101011011101	809ADD
2905752	1011000101011010011000	2C5698
9763121	100101001111100100110001	94F931
257890	111110111101100010	3EF62
4699761	10001111011011001110001	47B671
359541	1010111110001110101	57C75
3446150	1101001001010110000110	349586
4246818	10000001100110100100010	40CD22
1848840	111000011011000001000	1C3608
938480	11100101000111110000	E51F0
227465	110111100010001001	37889
3923488	1110111101111000100000	3BDE20
8915697	100010000000101011110001	880AF1
4309094	10000011100000001100110	41C066
3891251	1110110110000000110011	3B6033
8627956	100000111010011011110100	83A6F4
5884613	10110011100101011000101	59CAC5
1659318	110010101000110110110	1951B6
1834855	110111111111101100111	1BFF67
3386751	1100111010110101111111	33AD7F
3000166	1011011100011101100110	2DC766
9135626	100010110110011000001010	8B660A
4869260	10010100100110010001100	4A4C8C
76550	10010101100000110	12B06
432271	1101001100010001111	6988F
251028	111101010010010100	3D494
7016218	11010110000111100011010	6B0F1A
6896099	11010010011100111100011	6939E3
8386350	11111111111011100101110	7FF72E
8637147	100000111100101011011011	83CADB
936705	11100100101100000001	E4B01
6602175	11001001011110110111111	64BDBF
1429181	101011100111010111101	15CEBD
8395138	100000000001100110000010	801982
6132809	10111011001010001001001	5D9449
5936917	10110101001011100010101	5A9715
2878578	1010111110110001110010	2BEC72
158885	100110110010100101	26CA5
2441957	1001010100001011100101	2542E5
5914794	10110100100000010101010	5A40AA
3999272	1111010000011000101000	3D0628
3142897	1011111111010011110001	2FF4F1
8151159	11111000110000001110111	7C6077
5147564	10011101000101110101100	4E8BAC
4595374	10001100001111010101110	461EAE
4234951	10000001001111011000111	409EC7
7880605	11110000011111110011101	783F9D
7009921	11010101111011010000001	6AF681
695580	10101001110100011100	A9D1C
7370443	11100000111011011001011	7076CB
7921729	11110001110000001000001	78E041
8419625	100000000111100100101001	807929
7024080	11010110010110111010000	6B2DD0
3905988	1110111001100111000100	3B99C4
1767599	110101111100010101111	1AF8AF
935136	11100100010011100000	E44E0
635788	10011011001110001100	9B38C
8807719	100001100110010100100111	866527
317375	1001101011110111111	4D7BF
9975410	100110000011011001110010	983672
2727968	1010011010000000100000	29A020
7444399	11100011001011110101111	7197AF
4065675	1111100000100110001011	3E098B
9925720	100101110111010001011000	977458
2293633	1000101111111110000001	22FF81
7734826	11101100000011000101010	76062A
1065463	100000100000111110111	1041F7
1105617	100001101111011010001	10DED1
5325800	10100010100001111101000	5143E8
3822527	1110100101001110111111	3A53BF
5503858	10100111111101101110010	53FB72
9214055	100011001001100001100111	8C9867
6521769	11000111000001110101001	6383A9
7923796	11110001110100001010100	78E854
5250236	10100000001110010111100	501CBC
1083154	100001000011100010010	108712
472141	1110011010001001101	7344D
9597454	100100100111001000001110	92720E
1581679	110000010001001101111	18226F
656751	10100000010101101111	A056F
345464	1010100010101111000	54578
4281218	10000010101001110000010	415382
6558883	11001000001010010100011	6414A3
3852986	1110101100101010111010	3ACABA
6263187	10111111001000110010011	5F9193
5828308	10110001110111011010100	58EED4
8058535	11110101111011010100111	7AF6A7
9035191	100010011101110110110111	89DDB7
7922103	11110001110000110110111	78E1B7
9366003	100011101110100111110011	8EE9F3
4555717	10001011000001111000101	4583C5
3526753	1101011101000001100001	35D061
3176815	1100000111100101101111	30796F
858440	11010001100101001000	D1948
2250854	1000100101100001100110	225866

Elementos válidos: 200
Elementos inválidos: 0
Tiempo transcurrido (segundos): 0.001650
